model_id,provider_tag,organization,endpoint_id,from_at,to_at,direction,before,after
xiaomi/mimo-v2-flash,atlas-cloud/fp8,AtlasCloud,2350232d-2ce5-4a05-9a6f-61982b83c03c,2026-02-18T00:00:00.000Z,2026-02-19T00:00:00.000Z,metered,,1E-7
z-ai/glm-5,siliconflow/fp8,SiliconFlow,c173ea30-3dc0-4957-850e-f2df8c031f10,2026-02-23T00:00:00.000Z,2026-02-24T00:00:00.000Z,metered,,2E-7
minimax/minimax-m2.5,siliconflow/fp8,SiliconFlow,e89b11ef-ca0e-4cc1-9333-69343ec25819,2026-02-23T00:00:00.000Z,2026-02-24T00:00:00.000Z,metered,,3E-8
deepseek/deepseek-v3.2,siliconflow/fp8,SiliconFlow,b39a588a-b338-43ba-b046-226b9e24afa8,2026-02-23T00:00:00.000Z,2026-02-24T00:00:00.000Z,metered,,1.35E-7
z-ai/glm-4.7,siliconflow/fp8,SiliconFlow,ea63310d-6462-45fd-8d3c-8ce14a1ab0ab,2026-02-23T00:00:00.000Z,2026-02-24T00:00:00.000Z,metered,,1.1E-7
moonshotai/kimi-k2.5,siliconflow/int4,SiliconFlow,34bb2131-6727-40e5-9dec-8793b254ba5c,2026-02-23T00:00:00.000Z,2026-02-24T00:00:00.000Z,metered,,7E-8
deepseek/deepseek-chat-v3.1,modelrun/fp4,ModelRun,1be42674-2409-4929-97fb-b08ece52e90b,2026-02-26T00:00:00.000Z,2026-02-27T00:00:00.000Z,metered,,1.3E-7
aion-labs/aion-2.0,aion-labs,AionLabs,1e93b0bb-eb0f-49bc-8fda-947105413b86,2026-02-27T00:00:00.000Z,2026-02-28T00:00:00.000Z,metered,,2E-7
minimax/minimax-m2.5,friendli,Friendli,f82a6fab-f636-4837-bbee-81e634f92666,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,1.5E-7
qwen/qwen3-30b-a3b,friendli,Friendli,6a005fee-4205-438d-a938-11f35a039fd3,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,1.5E-7
qwen/qwen3-235b-a22b-2507,friendli,Friendli,02b90f2a-e684-46b3-808b-eb88e1348e29,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,2E-7
meta-llama/llama-3.3-70b-instruct,friendli,Friendli,b5f4db53-f8da-406b-83bc-2929f11eef13,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,6E-7
qwen/qwen3-235b-a22b-thinking-2507,friendli,Friendli,f49b0831-ff8f-458a-bcf5-7401c3a50ac6,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,6E-7
meta-llama/llama-4-scout,friendli,Friendli,0ee7adf4-f9e5-47e7-b4c7-be696689a546,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,1E-7
meta-llama/llama-3.1-8b-instruct,friendli,Friendli,986e98d3-8e2b-4943-b01b-b5c17f2ade41,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,1E-7
z-ai/glm-4.6,friendli,Friendli,4929f6aa-3dc2-47ae-80fd-626ad6fd8199,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,6E-7
minimax/minimax-m2.1,friendli,Friendli,521d5e70-7f6e-4337-ab9d-9b8f11bd2b86,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,3E-7
z-ai/glm-5,friendli,Friendli,a3983e50-dec5-4453-80f6-8ab726493ca4,2026-03-02T00:00:00.000Z,2026-03-03T00:00:00.000Z,metered,,0.000001
inception/mercury-coder,inception,Inception,eb51fb37-11b0-42d1-924a-c25fa2375569,2026-03-03T00:00:00.000Z,2026-03-04T00:00:00.000Z,metered,,2.5E-8
inception/mercury,inception,Inception,da1082ea-721e-460e-b330-034ae7aefc7f,2026-03-03T00:00:00.000Z,2026-03-04T00:00:00.000Z,metered,,2.5E-8
minimax/minimax-m2.5,together,Together,b4ba2874-4049-452d-9059-d005d271559c,2026-03-12T00:00:00.000Z,2026-03-13T00:00:00.000Z,metered,,6E-8
qwen/qwen3-235b-a22b-2507,friendli,Friendli,02b90f2a-e684-46b3-808b-eb88e1348e29,2026-03-13T00:00:00.000Z,2026-03-14T00:00:00.000Z,unmetered,2E-7,
mistralai/mistral-large-2407,mistral,Mistral,4a128170-b056-42d7-8462-a5cea647f9ad,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,2E-7
mistralai/mistral-medium-3.1,mistral,Mistral,13c5002b-8c5b-490c-8a5f-52ec0242804f,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,4E-8
mistralai/mistral-large,mistral,Mistral,f1a57233-f872-4fa0-ad37-66c9a6b00469,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,2E-7
mistralai/mistral-small-3.2-24b-instruct,mistral,Mistral,23fd6b91-74d8-45fc-ac00-cf141ec7f4a5,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,1E-8
mistralai/devstral-2512,mistral,Mistral,8551fff5-940d-4c61-95a7-243791f03dea,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,4E-8
mistralai/mistral-nemo,mistral,Mistral,2dfff8cc-cb8c-451d-8ca4-1356ad56218d,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,1.5E-8
mistralai/devstral-medium,mistral,Mistral,8f47daf9-62e7-423d-96de-fcb241b39175,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,4E-8
mistralai/mistral-large-2512,mistral,Mistral,fa718841-07ea-4b7e-b8a3-6069545c7e6a,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,5E-8
mistralai/mistral-large-2411,mistral,Mistral,26f5ecd0-44cb-43e8-8cfc-7b155c2e8c05,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,2E-7
mistralai/ministral-8b-2512,mistral,Mistral,c85d26e1-1e0c-449b-9775-2afce7ae510b,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,1.5E-8
mistralai/ministral-3b-2512,mistral,Mistral,b9f6828f-aef9-498a-91f5-6816fbf72420,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,1E-8
mistralai/mixtral-8x22b-instruct,mistral,Mistral,e55a0c16-08a0-4871-ae6a-97482cc3231a,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,2E-7
mistralai/mistral-small-creative,mistral,Mistral,0118a65e-79f9-48b0-924e-38c4a41378e1,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,1E-8
mistralai/devstral-small,mistral,Mistral,768e136a-0758-4c83-b1a7-701cb57da9e7,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,1E-8
mistralai/mistral-saba,mistral,Mistral,c5a8bebe-8564-47ed-9d05-4151aa3c6e3a,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,2E-8
mistralai/mistral-medium-3,mistral,Mistral,9d5ba5bf-8465-46df-9185-1330820338f5,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,4E-8
mistralai/codestral-2508,mistral,Mistral,dfdc2841-297c-4de9-96fe-eab0ccfa25a6,2026-03-17T00:00:00.000Z,2026-03-18T00:00:00.000Z,metered,,3E-8
