group,current_models,model_percent,current_endpoints,endpoint_percent,standard_model_ids,at_most_two_current_prompt_levels,median_current_prompt_levels,median_current_tags,all_meter_changes_7d,change_share_7d,input_changes_7d,core_changes_7d,zero_all_meter_models_7d,zero_input_models_7d,full_window_models_7d,full_window_zero_all_meter_models_7d,full_window_zero_input_models_7d,full_window_flat_two_level_models_7d,changes_per_100_endpoint_days_7d,all_meter_changes_30d,change_share_30d,input_changes_30d,core_changes_30d,zero_all_meter_models_30d,zero_input_models_30d,full_window_models_30d,full_window_zero_all_meter_models_30d,full_window_zero_input_models_30d,full_window_flat_two_level_models_30d,changes_per_100_endpoint_days_30d,zero_all_meter_current_endpoints_30d,all_meter_changes_90d,change_share_90d,input_changes_90d,core_changes_90d,zero_all_meter_models_90d,zero_input_models_90d,full_window_models_90d,full_window_zero_all_meter_models_90d,full_window_zero_input_models_90d,full_window_flat_two_level_models_90d,changes_per_100_endpoint_days_90d,zero_all_meter_current_endpoints_90d
inclusionai,4,0.975609756097561,5,0.39463299131807417,2,2,0.5,1.0,0,0.0,0,0,4,4,2,2,2,1,0.0,1,0.046992481203007516,1,1,3,3,1,0,0,0,1.1198382473284105,4,6,0.14818473697209186,6,6,3,3,0,0,0,0,6.2432258124603015,4
kwaipilot,2,0.4878048780487805,2,0.15785319652722968,2,2,1.0,1.0,0,0.0,0,0,2,2,2,2,2,2,0.0,0,0.0,0,0,2,2,2,2,2,2,0.0,2,2,0.04939491232403063,2,2,1,1,1,0,0,0,0.861965583528661,2
liquid,1,0.24390243902439024,1,0.07892659826361484,0,0,0,1,0,0.0,0,0,1,1,1,1,1,0,0.0,0,0.0,0,0,1,1,0,0,0,0,0.0,1,0,0.0,0,0,1,1,0,0,0,0,0.0,1
mancer,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0.046992481203007516,1,1,0,0,0,0,0,0,3.458213289704161,0,2,0.04939491232403063,2,2,0,0,0,0,0,0,2.249297101684756,0
meituan,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0,0.0,0,0,1,1,0,0,0,0,0.0,1
microsoft,2,0.4878048780487805,2,0.15785319652722968,2,2,1.0,1.0,0,0.0,0,0,2,2,2,2,2,2,0.0,0,0.0,0,0,2,2,2,2,2,2,0.0,2,0,0.0,0,0,2,2,2,2,2,2,0.0,2
minimax,9,2.1951219512195124,42,3.314917127071823,8,6,2,3,3,0.5825242718446602,3,3,7,7,9,7,7,6,1.0324060725284683,12,0.5639097744360902,12,12,5,5,9,5,5,5,0.9340692013073129,36,47,1.1607804396147197,41,47,5,5,8,5,5,5,1.162786376474634,27
morph,2,0.4878048780487805,2,0.15785319652722968,2,2,1.0,1.0,0,0.0,0,0,2,2,2,2,2,2,0.0,0,0.0,0,0,2,2,2,2,2,2,0.0,2,0,0.0,0,0,2,2,2,2,2,2,0.0,2
nex-agi,2,0.4878048780487805,2,0.15785319652722968,0,0,0.0,1.0,0,0.0,0,0,2,2,0,0,0,0,0.0,0,0.0,0,0,2,2,0,0,0,0,0.0,2,0,0.0,0,0,2,2,0,0,0,0,0.0,2
nousresearch,4,0.975609756097561,4,0.31570639305445936,4,4,1.0,1.0,0,0.0,0,0,4,4,4,4,4,4,0.0,0,0.0,0,0,4,4,4,4,4,4,0.0,4,0,0.0,0,0,4,4,4,4,4,4,0.0,4
nvidia,10,2.4390243902439024,18,1.420678768745067,5,4,0.5,1.0,0,0.0,0,0,10,10,9,9,9,3,0.0,3,0.14097744360902256,3,3,7,7,7,5,5,0,0.5917403373541391,15,10,0.24697456162015313,7,10,6,7,7,4,5,0,0.7469224243289744,12
perceptron,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0,0.0,0,0,1,1,1,1,1,1,0.0,1
perplexity,5,1.2195121951219512,5,0.39463299131807417,5,5,1,1,0,0.0,0,0,5,5,5,5,5,5,0.0,0,0.0,0,0,5,5,5,5,5,5,0.0,5,0,0.0,0,0,5,5,5,5,5,5,0.0,5
poolside,4,0.975609756097561,4,0.31570639305445936,2,2,0.5,1.0,0,0.0,0,0,4,4,4,4,4,2,0.0,0,0.0,0,0,4,4,4,4,4,2,0.0,4,1,0.024697456162015314,1,1,3,3,0,0,0,0,0.42649051614257244,3
rekaai,2,0.4878048780487805,2,0.15785319652722968,2,2,1.0,1.0,0,0.0,0,0,2,2,2,2,2,2,0.0,4,0.18796992481203006,0,4,0,2,2,0,2,2,6.666666666666667,0,4,0.09878982464806126,0,4,0,2,2,0,2,2,2.2222222222222223,0
relace,2,0.4878048780487805,2,0.15785319652722968,2,2,1.0,1.0,0,0.0,0,0,2,2,2,2,2,2,0.0,0,0.0,0,0,2,2,2,2,2,2,0.0,2,0,0.0,0,0,2,2,2,2,2,2,0.0,2
sakana,2,0.4878048780487805,2,0.15785319652722968,2,2,1.0,1.0,0,0.0,0,0,2,2,2,2,2,2,0.0,0,0.0,0,0,2,2,1,1,1,1,0.0,2,0,0.0,0,0,2,2,0,0,0,0,0.0,2
sao10k,3,0.7317073170731707,6,0.47355958958168903,3,3,2,2,0,0.0,0,0,3,3,3,3,3,3,0.0,0,0.0,0,0,3,3,3,3,3,3,0.0,6,1,0.024697456162015314,1,1,2,2,3,2,2,2,0.2045717132233338,5
stepfun,2,0.4878048780487805,4,0.31570639305445936,2,2,1.5,2.0,1,0.1941747572815534,1,1,1,1,2,1,1,1,3.5714285714285716,1,0.046992481203007516,1,1,1,1,2,1,1,1,0.8333333333333334,3,3,0.07409236848604593,3,3,1,1,2,1,1,1,0.8109476941545499,2
tencent,7,1.7073170731707317,12,0.9471191791633781,7,6,1,1,1,0.1941747572815534,1,1,6,6,7,6,6,6,1.1904761904761905,46,2.161654135338346,46,46,5,5,3,1,1,1,14.534603512299903,10,53,1.3089651765868116,50,53,5,5,2,1,1,1,8.509595560377308,9
thedrummer,3,0.7317073170731707,4,0.31570639305445936,3,3,1,1,0,0.0,0,0,3,3,3,3,3,3,0.0,0,0.0,0,0,3,3,3,3,3,3,0.0,4,0,0.0,0,0,3,3,3,3,3,3,0.0,4
thinkingmachines,6,1.4634146341463414,11,0.8681925808997633,2,4,1.0,1.0,0,0.0,0,0,6,6,6,6,6,4,0.0,1,0.046992481203007516,1,1,5,5,3,2,2,2,0.39533287664039046,10,4,0.09878982464806126,4,4,3,3,0,0,0,0,1.206614781553218,8
undi95,1,0.24390243902439024,2,0.15785319652722968,1,1,2,2,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0.046992481203007516,1,1,0,0,1,0,0,0,1.6666666666666667,1,3,0.07409236848604593,2,3,0,0,1,0,0,0,1.6666666666666667,1
upstage,2,0.4878048780487805,3,0.23677979479084452,2,2,1.0,1.5,0,0.0,0,0,2,2,2,2,2,2,0.0,0,0.0,0,0,2,2,1,1,1,1,0.0,3,0,0.0,0,0,2,2,1,1,1,1,0.0,3
writer,1,0.24390243902439024,1,0.07892659826361484,1,1,1,1,0,0.0,0,0,1,1,1,1,1,1,0.0,0,0.0,0,0,1,1,1,1,1,1,0.0,1,0,0.0,0,0,1,1,1,1,1,1,0.0,1
x-ai,7,1.7073170731707317,26,2.0520915548539858,6,6,2,4,0,0.0,0,0,7,7,6,6,6,5,0.0,0,0.0,0,0,7,7,5,5,5,5,0.0,26,3,0.07409236848604593,1,3,5,6,4,3,3,3,0.3173692831281121,23
xiaomi,2,0.4878048780487805,12,0.9471191791633781,2,0,5.0,6.0,0,0.0,0,0,2,2,2,2,2,0,0.0,15,0.7048872180451128,15,15,0,0,2,0,0,0,4.073857518672917,6,32,0.79031859718449,28,32,0,0,2,0,0,0,3.308988304898731,5
