model_id,provider_tag,historical_uuids,current_uuids,endpoint_ids
qwen/qwen3-vl-235b-a22b-thinking,alibaba,2,1,9aca8a5f-b174-437c-9b4d-41d9d17b1726;a4766f32-79c6-485a-8371-bff388d93df8
z-ai/glm-4.6,parasail/fp8,2,0,951ba78b-d10e-457c-8f32-a4baa6cb948a;eddb462f-b79b-4c36-9c13-eeaba061b05b
openai/gpt-oss-20b,chutes/bf16,2,0,b7b8e301-d648-40a1-a392-d6781a40b077;e8d4b7c5-996a-4397-bbb7-043c6e7278e6
z-ai/glm-4.6,chutes/bf16,2,0,5549acf8-9057-42a0-a617-069c1badeceb;627acc9a-f499-4b67-a820-03654b507c8c
minimax/minimax-m2,gmicloud/fp8,2,0,52a2d9f3-4d03-4b2e-b072-4c3f319d87a2;182fa6dc-44a9-43c0-bc08-0a44551717fc
z-ai/glm-4.6,together,2,0,aed105c4-0d88-46d9-a5e0-afd0eb5011ba;227db9b5-e0d2-4053-9b23-fb3ad58e14ac
moonshotai/kimi-k2-thinking,gmicloud/int4,2,0,dba8cb1c-25ab-4432-a05e-7e6f3b0cc4ec;7f7c22db-14d8-41e4-b60d-c3c6a690a1ef
qwen/qwen3-235b-a22b-2507,crusoe/bf16,2,0,ae57827e-bc4d-483b-abe6-fa519c237237;15156969-eb88-4a86-b94d-266fd7c30579
allenai/olmo-3-32b-think,parasail/bf16,2,0,3b5d6f4c-44dc-42d9-9fb6-cc6cdb020153;7282df05-53d5-4f61-9104-05a2ea109ffa
tngtech/tng-r1t-chimera:free,chutes/fp8,2,0,27606cc4-4c5a-4e3c-a577-60cb0ab97a21;b31307aa-c121-403c-a159-2e8f534f9836
deepseek/deepseek-v3.2,gmicloud/fp8,2,1,ab776d70-7a6d-4da2-83cd-57dee769624a;4a4416f7-de7b-42d6-982d-3ab52d67a775
deepseek/deepseek-v3.2,chutes/fp8,2,0,b5922eb0-11a0-42e0-bfa9-1e4dfa2f544d;5decf0b7-43b3-4d35-9ae7-9a3b8cb84511
openai/gpt-oss-120b,mara,2,1,a36ee305-8c88-4859-810c-58e39aab2d1b;1d1e46ad-d325-4d4c-9472-b3f284404cb2
qwen/qwen3-vl-235b-a22b-instruct,gmicloud/fp8,2,0,d20c5dfc-28cd-4ba3-8170-6f5aabae2193;b90705c3-9b23-4cc2-8366-59ba6666980d
deepseek/deepseek-v3.2,phala,2,1,4e9fb7e9-3967-4cd4-9723-df614f9f228e;0807964d-e117-49cb-b19f-0b025f782948
qwen/qwen3-next-80b-a3b-thinking,nebius/fp8,2,0,4dc7f3c5-67c9-419a-8d64-0dffa7d3e7cc;38fd3d9b-a647-4b0b-bbdf-a42f2ba75b84
z-ai/glm-4.7,mancer/fp4,2,1,c05c00f3-1afd-4238-880b-911611079858;cc473714-fdbf-40fa-b943-2fced9742a9a
z-ai/glm-4.7,cerebras/fp16,2,0,b44cc4d3-f68a-4565-8a0c-0dd31f03b687;7c3df488-c28c-419f-8e47-aa1f92b0e992
moonshotai/kimi-k2.5,fireworks,2,0,2e3d0ec2-3384-498b-9654-5ae800e3d886;5d3540f2-832a-4fde-87b4-b628b65e974c
