at,organization,endpoints,cache_metered,cache_percent
2025-11-01T00:00:00.000Z,Alibaba,22,6,27.272727272727273
2025-11-01T00:00:00.000Z,Amazon Bedrock,14,8,57.142857142857146
2025-11-01T00:00:00.000Z,Anthropic,10,10,100.0
2025-11-01T00:00:00.000Z,AtlasCloud,20,0,0.0
2025-11-01T00:00:00.000Z,Azure,19,8,42.10526315789474
2025-11-01T00:00:00.000Z,BaseTen,8,0,0.0
2025-11-01T00:00:00.000Z,Cerebras,9,0,0.0
2025-11-01T00:00:00.000Z,Chutes,73,0,0.0
2025-11-01T00:00:00.000Z,Cirrascale,1,0,0.0
2025-11-01T00:00:00.000Z,Cloudflare,13,0,0.0
2025-11-01T00:00:00.000Z,Cohere,4,0,0.0
2025-11-01T00:00:00.000Z,Crusoe,5,4,80.0
2025-11-01T00:00:00.000Z,DeepInfra,82,1,1.2195121951219512
2025-11-01T00:00:00.000Z,DeepSeek,1,1,100.0
2025-11-01T00:00:00.000Z,Featherless,2,0,0.0
2025-11-01T00:00:00.000Z,Fireworks,18,0,0.0
2025-11-01T00:00:00.000Z,Friendli,9,0,0.0
2025-11-01T00:00:00.000Z,GMICloud,10,0,0.0
2025-11-01T00:00:00.000Z,Google,53,30,56.60377358490566
2025-11-01T00:00:00.000Z,Google AI Studio,17,7,41.1764705882353
2025-11-01T00:00:00.000Z,Groq,12,4,33.333333333333336
2025-11-01T00:00:00.000Z,Hyperbolic,21,0,0.0
2025-11-01T00:00:00.000Z,Inception,2,0,0.0
2025-11-01T00:00:00.000Z,InferenceNet,8,0,0.0
2025-11-01T00:00:00.000Z,Infermatic,5,0,0.0
2025-11-01T00:00:00.000Z,Inflection,2,0,0.0
2025-11-01T00:00:00.000Z,Liquid,2,0,0.0
2025-11-01T00:00:00.000Z,Mancer 2,9,0,0.0
2025-11-01T00:00:00.000Z,Meta,4,0,0.0
2025-11-01T00:00:00.000Z,Minimax,3,0,0.0
